"product_id","product_name","price","battery_life","weight","cleaning_mode","warranty_years","stock_availability","user_rating","release_date"
"RB-0057","0dd85bbb Cleaner","495.53",10,"2.98","Wet",1,"In Stock","4.0","2024-08-01"
"RB-0058","A5253771 Cleaner","270.59",2,"4.12","Dry",3,"Pre-Order","3.7","2023-01-11"
"RB-0059","D45f6ee2 Cleaner","937.58",9,"3.74","Dry",3,"Out of Stock","4.9","2025-01-23"
"RB-0060","86f32445 Cleaner","887.81",3,"3.1","Wet",4,"Pre-Order","4.1","2021-02-26"
"RB-0061","201ec086 Cleaner","563.18",7,"3.14","Dry",3,"Out of Stock","3.8","2021-04-04"
"RB-0062","91909d76 Cleaner","790.55",5,"2.19","Wet",1,"In Stock","3.3","2022-09-01"
"RB-0063","28260df6 Cleaner","852.73",5,"3.46","Hybrid",2,"Out of Stock","3.6","2021-11-14"
"RB-0064","07bb24cb Cleaner","343.92",7,"4.7","Dry",3,"Pre-Order","4.5","2024-09-25"
"RB-0065","8c8da9fd Cleaner","722.56",2,"2.2","Dry",4,"Out of Stock","4.1","2020-10-10"
"RB-0066","8ed612eb Cleaner","566.71",2,"2.59","Dry",1,"In Stock","5.0","2022-07-15"
"RB-0067","6421afd3 Cleaner","947.64",5,"2.28","Hybrid",2,"Out of Stock","3.3","2021-05-24"
"RB-0068","1e74dcd6 Cleaner","452.55",2,"2.5","Dry",4,"Pre-Order","4.1","2020-04-10"
"RB-0069","F9a401ca Cleaner","993.34",4,"3.57","Hybrid",4,"Pre-Order","3.0","2020-10-28"
"RB-0070","06f3bdef Cleaner","474.10",4,"2.02","Dry",1,"In Stock","3.1","2023-07-17"
"RB-0071","A99d0366 Cleaner","732.67",10,"4.32","Dry",4,"Pre-Order","3.4","2024-04-05"
"RB-0072","118ace94 Cleaner","791.37",9,"2.15","Wet",2,"In Stock","3.6","2023-07-03"
"RB-0073","Eaaec27d Cleaner","663.19",9,"3.72","Dry",2,"In Stock","3.9","2022-04-23"
"RB-0074","395d781b Cleaner","279.47",7,"5","Dry",1,"In Stock","4.6","2021-11-08"
"RB-0075","10235009 Cleaner","837.63",7,"3.49","Wet",2,"Out of Stock","4.6","2020-04-17"
"RB-0076","6f3e0a40 Cleaner","374.52",2,"4.18","Hybrid",3,"In Stock","4.5","2023-03-19"
"RB-0077","6e06f26a Cleaner","399.31",7,"3.77","Hybrid",4,"In Stock","3.3","2024-07-11"
"RB-0078","1bd97d39 Cleaner","687.88",9,"4.75","Dry",4,"Pre-Order","3.2","2021-01-24"
"RB-0079","681fc9b0 Cleaner","777.60",3,"4.49","Hybrid",5,"In Stock","4.6","2021-07-25"
"RB-0080","453db97e Cleaner","501.67",2,"3.11","Hybrid",1,"Pre-Order","4.7","2021-09-16"
"RB-0081","7eb62947 Cleaner","284.10",8,"2.96","Dry",4,"Pre-Order","4.4","2021-02-26"
"RB-0082","A8728aa3 Cleaner","430.08",10,"2.87","Wet",5,"Pre-Order","3.8","2021-04-29"
"RB-0083","B59d9883 Cleaner","550.42",6,"3.59","Dry",5,"Pre-Order","4.7","2021-01-25"
"RB-0084","B5f5c72e Cleaner","452.21",5,"3.25","Dry",1,"Pre-Order","4.7","2023-05-24"
"RB-0085","2be1cc48 Cleaner","998.93",8,"4.25","Dry",1,"Pre-Order","3.1","2024-01-17"
"RB-0086","959190fa Cleaner","980.89",6,"4.36","Wet",2,"Out of Stock","3.8","2022-07-11"
"RB-0087","17da69b4 Cleaner","415.12",4,"3.36","Hybrid",2,"Out of Stock","4.0","2024-08-21"
"RB-0088","C2bdf014 Cleaner","960.19",7,"4.3","Dry",4,"Pre-Order","4.0","2022-03-22"
"RB-0089","5435cdf8 Cleaner","245.54",6,"3.51","Wet",5,"Out of Stock","4.7","2021-04-02"
"RB-0090","B6012703 Cleaner","356.71",1,"2.84","Wet",3,"Pre-Order","3.9","2021-11-10"
"RB-0091","25e7ffa9 Cleaner","793.76",4,"3.93","Dry",2,"Pre-Order","3.4","2024-06-05"
"RB-0092","397cb4da Cleaner","522.60",5,"3.64","Dry",2,"In Stock","4.5","2022-03-29"
"RB-0093","00cf944a Cleaner","537.40",1,"4.64","Dry",4,"Out of Stock","4.7","2020-08-17"
"RB-0094","789be3ad Cleaner","813.55",6,"2.99","Dry",5,"In Stock","3.1","2022-10-13"
"RB-0095","3d52ada3 Cleaner","228.96",10,"4.86","Hybrid",4,"Out of Stock","4.3","2024-12-22"
"RB-0096","E287cd17 Cleaner","897.18",1,"3.33","Hybrid",2,"In Stock","3.4","2022-10-06"
"RB-0097","960241ea Cleaner","384.79",7,"2.67","Wet",5,"In Stock","3.2","2021-06-02"
"RB-0098","82c8c554 Cleaner","651.79",8,"3.61","Wet",3,"In Stock","4.6","2023-03-20"
"RB-0099","Eb71f671 Cleaner","773.05",5,"3.61","Dry",5,"In Stock","4.2","2021-08-19"
"RB-0100","F37aa534 Cleaner","586.94",3,"4.92","Hybrid",3,"Out of Stock","4.1","2020-04-23"
"RB-0101","517ebc3e Cleaner","353.64",2,"2.45","Hybrid",4,"In Stock","3.9","2023-12-16"
"RB-0102","07552ff9 Cleaner","759.89",3,"3.94","Wet",4,"In Stock","3.9","2020-11-02"
"RB-0103","Ed2f5af5 Cleaner","511.35",5,"4.79","Wet",4,"Out of Stock","3.4","2020-07-24"
"RB-0104","Daa49500 Cleaner","272.77",8,"3.06","Wet",2,"Out of Stock","4.5","2020-06-01"
"RB-0105","D9995794 Cleaner","969.66",7,"3.25","Hybrid",3,"Pre-Order","3.1","2023-01-05"
"RB-0106","B4c6921f Cleaner","329.04",2,"3.04","Dry",1,"In Stock","3.8","2024-05-31"
"RB-0107","8dc4e14c Cleaner","805.18",7,"3.75","Wet",5,"Out of Stock","3.8","2020-08-14"
"RB-0108","7331402b Cleaner","666.21",6,"4.36","Dry",2,"Pre-Order","3.4","2021-03-26"
"RB-0109","1ffd137f Cleaner","763.13",6,"3.27","Dry",2,"In Stock","4.2","2021-10-24"
"RB-0110","5477cdfd Cleaner","438.45",10,"4.14","Wet",3,"In Stock","4.5","2020-06-13"
"RB-0111","74898eb2 Cleaner","320.69",3,"2.55","Hybrid",2,"Out of Stock","4.7","2022-10-21"
"RB-0112","1090f1da Cleaner","784.75",5,"3.12","Dry",2,"Pre-Order","3.5","2023-08-19"
"RB-0113","Af2b4317 Cleaner","424.82",3,"2.05","Dry",2,"In Stock","3.4","2023-01-22"
"RB-0114","5ceac6bb Cleaner","605.23",7,"4.75","Dry",3,"Out of Stock","4.7","2024-11-04"
"RB-0115","D9407f2d Cleaner","654.59",3,"3.96","Dry",2,"Out of Stock","3.5","2022-10-31"
"RB-0116","C81f99ce Cleaner","643.98",3,"4.82","Hybrid",3,"In Stock","4.6","2022-06-11"
"RB-0117","52e29fe5 Cleaner","271.06",5,"3.54","Hybrid",3,"Out of Stock","3.0","2023-03-21"
"RB-0118","D0a37ada Cleaner","808.05",6,"3.47","Wet",1,"Out of Stock","3.3","2020-03-15"
"RB-0119","Bbb7b000 Cleaner","826.85",8,"3.85","Dry",2,"Pre-Order","3.8","2023-04-17"
"RB-0120","F98dda68 Cleaner","413.56",10,"4.69","Wet",4,"Pre-Order","4.2","2021-03-30"
"RB-0121","Afca83bd Cleaner","421.19",4,"4.06","Dry",3,"Out of Stock","3.2","2021-01-08"
"RB-0122","63a612f4 Cleaner","283.26",2,"2.44","Wet",4,"Pre-Order","3.3","2020-08-25"
"RB-0123","22d257b9 Cleaner","423.42",9,"3.81","Wet",4,"In Stock","4.7","2020-03-05"
"RB-0124","D86182d0 Cleaner","410.91",9,"4.48","Hybrid",2,"In Stock","3.4","2024-07-08"
"RB-0125","975f4633 Cleaner","686.15",4,"4.21","Dry",2,"Out of Stock","4.1","2022-05-31"
"RB-0126","30a710f2 Cleaner","957.14",3,"3.48","Wet",1,"Pre-Order","4.5","2024-02-26"
"RB-0127","0f343c39 Cleaner","294.55",2,"4.68","Wet",2,"Out of Stock","3.1","2024-06-28"
"RB-0128","16c11ffb Cleaner","827.02",10,"3.12","Dry",4,"Out of Stock","4.3","2020-12-30"
"RB-0129","26746be5 Cleaner","474.52",8,"4.65","Hybrid",3,"In Stock","4.2","2022-11-12"
"RB-0130","516f91e3 Cleaner","412.25",2,"3.17","Hybrid",3,"In Stock","4.7","2022-02-17"
"RB-0131","14b8cc28 Cleaner","637.71",7,"4.89","Hybrid",1,"In Stock","4.2","2021-10-24"
"RB-0132","A9a230f9 Cleaner","446.83",7,"2.53","Wet",2,"Pre-Order","4.3","2022-01-24"
"RB-0133","041ae7f4 Cleaner","824.37",9,"4.8","Wet",1,"In Stock","4.5","2023-06-11"
"RB-0134","B4cc375a Cleaner","701.14",9,"2.36","Wet",3,"In Stock","3.2","2023-10-08"
"RB-0135","Df5a042c Cleaner","509.38",9,"3.87","Hybrid",4,"In Stock","3.8","2023-10-22"
"RB-0136","E77af5df Cleaner","955.53",5,"2.02","Wet",2,"In Stock","4.2","2023-08-01"
"RB-0137","57237b34 Cleaner","919.87",8,"3.33","Dry",2,"Out of Stock","4.5","2020-03-18"
"RB-0138","15ae6469 Cleaner","299.19",5,"3.51","Wet",4,"In Stock","4.0","2024-12-09"
"RB-0139","014d188a Cleaner","473.32",2,"4.74","Wet",2,"In Stock","4.5","2024-12-25"
"RB-0140","Ba63f6a8 Cleaner","487.12",3,"2.48","Hybrid",3,"Pre-Order","4.0","2020-02-27"
"RB-0141","Eaf7b57c Cleaner","212.89",10,"4.45","Wet",2,"Pre-Order","3.3","2021-03-23"
"RB-0142","6d769b5e Cleaner","862.25",5,"2.76","Dry",1,"Pre-Order","3.8","2022-08-14"
"RB-0143","293946cb Cleaner","254.13",2,"2.78","Wet",2,"In Stock","3.8","2020-08-12"
"RB-0144","E5790cef Cleaner","919.26",10,"4.68","Hybrid",2,"Pre-Order","4.7","2024-01-26"
"RB-0145","94c8392e Cleaner","550.59",6,"4.52","Dry",3,"Out of Stock","3.2","2024-12-01"
"RB-0146","708a0c52 Cleaner","203.32",8,"3.53","Wet",2,"Pre-Order","4.2","2024-04-08"
"RB-0147","22426e26 Cleaner","875.17",2,"3.82","Dry",2,"In Stock","4.7","2023-10-13"
"RB-0148","Ba7713ef Cleaner","847.77",8,"4.83","Dry",2,"In Stock","4.7","2024-10-02"
"RB-0149","B1c3ecaf Cleaner","689.80",8,"2.13","Hybrid",4,"Pre-Order","4.0","2024-06-18"
"RB-0150","9fe4616f Cleaner","510.16",10,"3.18","Wet",2,"Out of Stock","4.5","2023-02-17"
"RB-0151","62782f8e Cleaner","289.81",7,"4.87","Wet",2,"Pre-Order","3.3","2022-05-19"
"RB-0152","E528de3c Cleaner","659.35",4,"2.05","Dry",2,"Out of Stock","4.9","2022-09-13"
"RB-0153","25310d38 Cleaner","731.25",8,"2.65","Wet",2,"Pre-Order","3.5","2024-05-04"
"RB-0154","541b8ba3 Cleaner","818.18",4,"2.9","Dry",3,"Pre-Order","4.4","2024-08-23"
"RB-0155","4a84f184 Cleaner","917.97",2,"3.42","Wet",1,"Pre-Order","3.2","2023-07-14"
"RB-0156","8010c560 Cleaner","801.37",7,"2.48","Dry",4,"Pre-Order","4.0","2022-07-02"
"RB-0157","E4cf7f34 Cleaner","883.28",2,"3.53","Dry",3,"Out of Stock","5.0","2021-12-31"
"RB-0158","2fe8e3a6 Cleaner","370.79",2,"4.69","Dry",1,"In Stock","3.4","2020-07-11"
"RB-0159","50274630 Cleaner","672.50",8,"2.19","Dry",3,"Pre-Order","3.0","2021-05-30"
"RB-0160","6c6bf924 Cleaner","388.80",2,"2.09","Dry",1,"In Stock","3.3","2023-12-08"
"RB-0161","02bf47da Cleaner","365.20",2,"3.39","Hybrid",4,"Out of Stock","4.2","2020-10-22"
"RB-0162","6204b3b9 Cleaner","769.38",3,"3.08","Hybrid",1,"In Stock","4.2","2023-01-08"
"RB-0163","Ab82f479 Cleaner","862.36",9,"3.75","Dry",2,"In Stock","3.5","2023-11-09"
"RB-0164","89206270 Cleaner","674.38",5,"4.3","Hybrid",1,"In Stock","3.8","2024-09-16"
"RB-0165","Ebc57b4e Cleaner","985.44",9,"3.27","Dry",4,"In Stock","4.6","2020-04-28"
"RB-0166","6b906f3f Cleaner","975.49",6,"3.18","Hybrid",4,"Out of Stock","4.4","2025-01-24"
"RB-0167","Af7bbc94 Cleaner","367.66",2,"4.53","Wet",4,"Pre-Order","3.6","2022-06-24"
"RB-0168","3c3d057f Cleaner","677.81",10,"4.47","Hybrid",2,"In Stock","4.2","2020-05-19"
"RB-0169","81295007 Cleaner","426.29",5,"3.73","Wet",1,"In Stock","4.0","2024-10-02"
"RB-0170","40d9a8f3 Cleaner","625.82",4,"4.93","Wet",2,"Out of Stock","4.7","2024-04-11"
"RB-0171","Ec64243e Cleaner","624.91",6,"4.5","Dry",4,"Pre-Order","3.7","2021-03-25"
"RB-0172","05ed5533 Cleaner","732.15",4,"3.47","Hybrid",3,"Out of Stock","3.4","2022-04-16"
"RB-0173","D8047780 Cleaner","815.99",5,"2.79","Dry",2,"Out of Stock","3.8","2024-07-18"
"RB-0174","Dc93122c Cleaner","236.45",7,"2.6","Wet",3,"Pre-Order","4.3","2021-07-08"
"RB-0175","8a8634e1 Cleaner","569.36",6,"3.78","Wet",4,"In Stock","4.2","2024-06-22"
"RB-0176","F062956e Cleaner","851.10",9,"4.01","Hybrid",2,"Pre-Order","4.6","2023-04-08"
"RB-0177","Deaab1e7 Cleaner","987.55",4,"2.11","Hybrid",1,"In Stock","4.8","2023-04-26"
"RB-0178","1620bada Cleaner","632.00",10,"3.74","Wet",5,"Out of Stock","3.4","2023-02-25"
"RB-0179","A488c48f Cleaner","664.75",9,"3.93","Hybrid",5,"Out of Stock","3.4","2020-03-13"
"RB-0180","152e8e51 Cleaner","627.55",3,"3.94","Dry",3,"Out of Stock","4.8","2021-07-19"
"RB-0181","E01e194d Cleaner","513.48",4,"4.95","Dry",4,"In Stock","4.6","2024-12-05"
"RB-0182","59eeaa3b Cleaner","428.97",9,"3.52","Wet",4,"Pre-Order","3.6","2023-12-04"
"RB-0183","0425d47f Cleaner","435.67",8,"2.32","Wet",3,"Pre-Order","4.8","2023-08-09"
"RB-0184","11aee5a7 Cleaner","893.78",3,"3.76","Dry",4,"Pre-Order","3.8","2023-03-29"
"RB-0185","D6215acc Cleaner","670.25",9,"3.8","Wet",4,"In Stock","3.1","2021-11-18"
"RB-0186","17e53bd9 Cleaner","759.11",2,"3.54","Dry",4,"Pre-Order","3.2","2021-03-24"
"RB-0187","B52c5ec4 Cleaner","617.32",6,"2.46","Wet",5,"In Stock","4.1","2022-08-16"
"RB-0188","D9323924 Cleaner","887.09",4,"3.31","Dry",2,"In Stock","3.3","2022-05-08"
"RB-0189","2d433d96 Cleaner","768.60",6,"4.48","Wet",5,"Pre-Order","3.5","2021-10-18"
"RB-0190","B74965af Cleaner","838.63",2,"2.83","Hybrid",3,"Pre-Order","3.7","2022-03-21"
"RB-0191","Da35a8a7 Cleaner","456.15",7,"4.47","Wet",1,"In Stock","3.2","2024-12-18"
"RB-0192","877ff943 Cleaner","702.23",8,"2.25","Hybrid",2,"In Stock","4.0","2024-02-15"
"RB-0193","D3e06294 Cleaner","448.00",4,"2.22","Dry",2,"Out of Stock","3.1","2020-02-10"
"RB-0194","Dae35561 Cleaner","799.08",8,"3.46","Hybrid",4,"Pre-Order","4.0","2024-01-01"
"RB-0195","Ff6fdc36 Cleaner","988.46",9,"4.42","Dry",4,"In Stock","3.8","2020-12-10"
"RB-0196","Baee4e77 Cleaner","745.38",9,"4.85","Wet",2,"In Stock","4.8","2023-05-04"
"RB-0197","28f69b8f Cleaner","367.55",7,"3.56","Dry",2,"In Stock","3.2","2024-06-08"
"RB-0198","C9298e92 Cleaner","991.09",10,"3.92","Wet",3,"In Stock","3.4","2020-08-01"
"RB-0199","57628880 Cleaner","576.90",1,"4.37","Wet",4,"Pre-Order","4.2","2021-08-29"
"RB-0200","247f07a8 Cleaner","319.22",6,"3.51","Wet",1,"Out of Stock","4.0","2023-09-19"
"RB-0201","1ab36c80 Cleaner","388.00",8,"3.55","Wet",3,"Out of Stock","3.4","2022-10-16"
"RB-0202","4db2cbf2 Cleaner","894.14",2,"4.77","Dry",3,"Out of Stock","4.6","2022-06-17"
"RB-0203","F3d652f6 Cleaner","694.06",5,"2.7","Hybrid",1,"Pre-Order","3.7","2021-02-06"
"RB-0204","B30951f0 Cleaner","415.35",9,"4.74","Wet",2,"In Stock","4.0","2024-06-28"
"RB-0205","F883f37f Cleaner","251.76",3,"2.95","Hybrid",2,"Pre-Order","3.9","2022-10-14"
"RB-0206","B6c127ba Cleaner","447.85",9,"4.97","Dry",2,"In Stock","3.2","2023-04-05"
"RB-0207","Ce20664e Cleaner","286.28",3,"3.12","Dry",2,"Out of Stock","4.2","2021-03-01"
"RB-0208","A4fdd127 Cleaner","339.42",5,"2.64","Hybrid",5,"In Stock","4.5","2024-04-28"
"RB-0209","0ca79aaf Cleaner","735.35",3,"3.65","Hybrid",5,"Out of Stock","4.7","2020-03-25"
"RB-0210","F5bfb26b Cleaner","975.61",5,"2.41","Wet",2,"In Stock","3.3","2022-02-11"
"RB-0211","8c5fa0e9 Cleaner","796.14",2,"2.22","Dry",4,"In Stock","3.4","2023-07-22"
"RB-0212","Bd65dbe3 Cleaner","979.27",8,"2.13","Wet",2,"Pre-Order","4.4","2024-11-29"
"RB-0213","Ba771f62 Cleaner","480.47",10,"2.53","Hybrid",4,"In Stock","4.9","2024-10-02"
"RB-0214","Bf2c4f8a Cleaner","477.13",2,"3.07","Wet",1,"In Stock","3.7","2024-06-30"
"RB-0215","53ca3f13 Cleaner","683.50",10,"4.37","Dry",2,"Pre-Order","4.2","2023-08-18"
"RB-0216","70ced1ed Cleaner","670.38",6,"4.42","Hybrid",5,"Out of Stock","4.7","2022-07-16"
"RB-0217","29111175 Cleaner","814.47",9,"3.99","Wet",1,"Out of Stock","4.1","2023-09-26"
"RB-0218","Dbecfbc6 Cleaner","303.87",10,"2.37","Dry",4,"Out of Stock","3.5","2023-04-11"
"RB-0219","B6e056d0 Cleaner","755.59",10,"3.6","Hybrid",2,"Out of Stock","3.6","2023-07-25"
"RB-0220","D8cedc00 Cleaner","569.73",8,"4.95","Dry",1,"Out of Stock","3.3","2024-12-11"
"RB-0221","5ef364f6 Cleaner","285.07",9,"4.14","Hybrid",3,"Pre-Order","4.6","2020-04-29"
"RB-0222","A7536153 Cleaner","538.84",4,"2.86","Wet",2,"Out of Stock","3.2","2021-06-10"
"RB-0223","0a421259 Cleaner","554.55",9,"4.25","Hybrid",5,"Out of Stock","3.6","2020-11-05"
"RB-0224","1fea0a37 Cleaner","750.01",1,"3.99","Wet",3,"Out of Stock","3.3","2021-07-16"
"RB-0225","000a0489 Cleaner","567.95",9,"4.72","Hybrid",3,"Out of Stock","4.5","2023-10-30"
"RB-0226","8c4c3f1f Cleaner","579.90",6,"3.88","Dry",2,"In Stock","3.0","2024-03-15"
"RB-0227","10789bd9 Cleaner","368.93",3,"2.43","Wet",2,"In Stock","4.0","2022-09-01"
"RB-0228","44de6d76 Cleaner","946.79",3,"4.13","Hybrid",2,"Out of Stock","3.1","2024-11-15"
"RB-0229","1dbf17a8 Cleaner","555.45",4,"3.86","Hybrid",4,"Pre-Order","4.0","2020-12-09"
"RB-0230","Ad61714a Cleaner","458.17",3,"2.68","Hybrid",4,"In Stock","3.7","2023-04-23"
"RB-0231","Aa6a4cd7 Cleaner","671.35",7,"2.57","Dry",1,"Out of Stock","3.2","2024-12-03"
"RB-0232","6f99c168 Cleaner","963.39",10,"3.49","Dry",4,"Out of Stock","3.6","2024-08-08"
"RB-0233","Edcee554 Cleaner","424.27",8,"4.82","Dry",1,"Out of Stock","3.5","2021-08-08"
"RB-0234","78baa12d Cleaner","944.57",7,"2.63","Dry",4,"In Stock","3.4","2022-11-20"
"RB-0235","Fbd14192 Cleaner","663.55",5,"2.06","Dry",3,"Out of Stock","3.8","2024-11-01"
"RB-0236","402a5b46 Cleaner","689.48",7,"3.27","Wet",3,"In Stock","3.6","2023-11-20"
"RB-0237","93e61b47 Cleaner","686.81",5,"2.25","Wet",4,"In Stock","3.5","2024-04-18"
"RB-0238","F3a9085c Cleaner","779.60",2,"4.53","Hybrid",3,"In Stock","3.7","2020-05-31"
"RB-0239","Ec0edd09 Cleaner","539.45",3,"2.49","Wet",5,"In Stock","5.0","2024-10-08"
"RB-0240","7a167191 Cleaner","478.62",2,"4.61","Wet",4,"Pre-Order","3.4","2023-10-04"
"RB-0241","44eadb53 Cleaner","835.37",10,"3.01","Wet",2,"In Stock","3.7","2022-05-06"
"RB-0242","57a5cda7 Cleaner","995.59",8,"4.94","Hybrid",2,"In Stock","3.2","2023-10-27"
"RB-0243","7b4f33fe Cleaner","963.86",8,"4.38","Wet",3,"Out of Stock","4.0","2025-01-17"
"RB-0244","5d5acd73 Cleaner","287.77",2,"3.2","Hybrid",2,"Pre-Order","3.1","2024-12-08"
"RB-0245","9c9c2eac Cleaner","818.84",5,"4.28","Hybrid",4,"Out of Stock","3.5","2023-01-01"
"RB-0246","Ed3070a9 Cleaner","573.61",5,"3.87","Wet",3,"Out of Stock","4.5","2020-06-30"
"RB-0247","453d68e0 Cleaner","724.47",1,"3.48","Dry",4,"In Stock","3.2","2020-10-02"
"RB-0248","65e38488 Cleaner","525.92",10,"4.24","Wet",2,"In Stock","3.1","2023-10-07"
